ADHD,You should consult with the doctor,You should eat healthy diets,You should meditate,You should go for therapy
OCD,You should meditate,You should consult with the doctor,You should eat healthy diets,take your meds
Depression,You should meditate,You should exercise regularly,You should consult with the doctor,You should avoid drugs and alcohol
Anxiety Disorder,You should consult with the doctor,You should meditate,You should eat healthy diets,You should exercise regularly
Drug Reaction,stop irritation,consult nearest hospital,You should stop taking drug,You should follow up with the doctor
Malaria,You should consult nearest hospital,You should avoid oily food,You should avoid non veg food,You should keep mosquitos out
Allergy,You should apply calamine,yoy have to cover area with bandage,You have to avoid foods that increases Inflammation.,use ice to compress itching
Hypothyroidism,You should exercise regularly,You should eat healthy diets,You should get proper sleep,reduce stress
Psoriasis,You should wash hands with warm soapy water,You have to stop bleeding using pressure,You should consult with the doctor,You should take You should take salt baths
GERD,You should avoid fatty spicy food,You should avoid lying down after eating,You should maintain healthy weight,You should exercise regularly
Chronic cholestasis,You should take cold baths,You should take  anti itch medicine,You should consult with the doctor,You should eat healthy diets
hepatitis A,You should consult nearest hospital,You should wash hands through,You have to avoid fatty spicy food,You have to take medication prescribed by the doctor
Osteoarthristis,Youu should take acetaminophen,You should consult nearest hospital,You should follow up with the doctor,You should You should take salt baths
(vertigo) Paroymsal Positional Vertigo,You should lie down,You should avoid sudden change in body,You should avoid abrupt head movment,You should relax
Hypoglycemia,You should lie down on side,You should check in pulse,You should drink sugary drinks,You should consult with the doctor
Acne,You should take bath twice,You should avoid fatty spicy food,You should drink plenty of water,You should avoid too many products
Diabetes,You should have balanced diet,You should exercise regularly,You should consult with the doctor,You should follow up with the doctor
Impetigo,You should soak affected area in warm water,You may have to take antibiotics,You should remove scabs with wet compressed cloth,You should consult with the doctor
Hypertension,You should meditate,You should take salt baths,You should take less stress,You should get proper sleep
Peptic ulcer diseae,You should avoid fatty spicy food,You should consume probiotic food,You should eliminate milk,You may limit alcohol
Dimorphic Hemorrhoids(piles),You should avoid fatty spicy food,You should consume witch hazel,You should take warm bath with epsom salt,You should consume alovera juice
Common Cold,You should drink vitamin c rich drinks,You should take vapour,You should avoid cold food,You should keep fever in check
Chicken pox,You should use neem in bathing ,You should consume neem leaves,You should take vaccine,You should avoid public places
Cervical spondylosis,You should use heating pad or cold pack,You should exercise regularly,You should take otc pain reliver,You should consult with the doctor
Hyperthyroidism,You should eat healthy diets,You should massage,You should use lemon balm,You should take radioactive iodine treatment
Urinary tract infection,You should drink plenty of water,You should increase vitamin c intake,You should drink cranberry juice,You should take probiotics
Varicose veins,You should lie down flat and raise the leg high,You should use oinments,You may have to use vein compression,You should not stand still for long
AIDS,You should avoid open cuts,You should wear ppe if possible,You should consult with the doctor,You should follow up with the doctor
Paralysis (brain hemorrhage),You should eat healthy diets,You should exercise regularly,You should consult with the doctor,You have to take massage
Typhoid,You have to eat high calorie vegitables,You may have to take antiboitic,You should go for therapy,You should consult with the doctor
Hepatitis B,You should consult nearest hospital,You should take vaccination,You should eat healthy diets,You have to take medication prescribed by the doctor
Fungal infection,You should bath twice,You should use detol or neem in bathing water,You have to keep infected area dry,You have to use clean cloths
Hepatitis C,You should consult nearest hospital,You have to take vaccination,You should eat healthy diets,You have to take medication prescribed by the doctor
Migraine,You should meditate,You have to reduce stress,You have to use poloroid glasses in sun,You should consult with the doctor
Bronchial Asthma,You my switch to loose cloothing,You have to take deep breaths,You have to get away from trigger,You have to seek help
Alcoholic hepatitis,You should stop alcohol consumption,You should consult with the doctor,You have to take medication prescribed by the doctor,You should follow up with the doctor
Jaundice,You should drink plenty of water,You should consume milk thistle,You should eat fruits and high fiberous food,You have to take medication prescribed by the doctor
Hepatitis E,You have to stop alcohol consumption,You have to take rest,You should consult with the doctor,You have to take medication prescribed by the doctor
Dengue,You have to drink papaya leaf juice,You should avoid fatty spicy food,You Should keep mosquitos away,You should drink plenty of water
Hepatitis D,You should consult with the doctor,You have to take medication prescribed by the doctor,You should eat healthy diets,You should follow up with the doctor
Heart attack,You should call ambulance,YOu have to chew or swallow asprin,You have to keep calm,You should consult with the doctor
Pneumonia,You should consult with the doctor,You have to take medication prescribed by the doctor,You should take rest,You should follow up with the doctor
Arthritis,You should exercise regularly,You should use hot and cold therapy,You should try acupuncture,You have to take massage for a while
Gastroenteritis,You should stop eating solid food for while,You should try taking small sips of water,You should take rest,You should ease back into eating
Tuberculosis,You should cover mouth,You should consult with the doctor,You have to take medication prescribed by the doctor,You have to take rest
